t,reward,oracle,regret,sales,health,roll_reward,roll_regret,roll_sales,roll_health
12819,9.576941176470587,12.216000000000001,2.639058823529414,51.0,5.25,7.589115242918978,4.51913935926511,74.6959438377535,5.092411856474259
12820,8.196222222222222,12.216000000000001,4.0197777777777794,129.0,5.26,7.589162595463967,4.519100410541806,74.70017939318306,5.092424927852742
12821,12.224,12.224,0.0,31.0,5.25,7.589524070850376,4.518747961593862,74.69677117454376,5.092437217282795
12822,6.070153846153846,12.216000000000001,6.145846153846155,40.0,5.26,7.5894055829595,4.518874850636383,74.69406535132184,5.092450284644778
12823,4.951272727272727,12.216000000000001,7.264727272727274,77.0,5.25,7.589199864552163,4.519088968885142,74.69424516531504,5.092462570180911
12824,5.298792243767313,12.216000000000001,6.917207756232688,113.0,5.26,7.589021275263994,4.519275956704818,74.69723196881091,5.092475633528265
12825,5.341,12.216000000000001,6.875000000000001,21.0,4.89,7.5888460046203585,4.519459624570349,74.69304537657882,5.092459847185404
12826,12.216000000000001,12.216000000000001,0.0,514.0,4.21,7.589206740099845,4.519107285003453,74.72729398924145,5.092391050128635
12827,6.306909090909091,12.216000000000001,5.90909090909091,11.0,5.08,7.589106779260338,4.5192156404465536,74.72232616152166,5.092390084190833
12828,6.666261780104712,12.224,5.557738219895288,86.0,4.97,7.589034844970904,4.519296591618074,74.72320523813235,5.092380544079819
12829,7.451272727272727,12.216000000000001,4.764727272727274,26.0,5.25,7.589024107471474,4.519315721055418,74.71940763834762,5.092392829306314
12830,6.839384615384615,12.216000000000001,5.376615384615386,54.0,5.26,7.588965683381995,4.519382535774735,74.71779284545242,5.09240589198036
12831,9.424,12.216000000000001,2.7920000000000016,73.0,5.25,7.589108687926619,4.519247920552184,74.71765897755611,5.092418173316708
12832,6.244618556701031,12.216000000000001,5.97138144329897,79.0,5.26,7.589003919740597,4.519361076752818,74.71799267513443,5.0924312319800515
12833,10.71863829787234,12.216000000000001,1.4973617021276606,41.0,4.01,7.589247774686688,4.519125608514185,74.7153654355618,5.092346891070593
12834,12.216000000000001,12.216000000000001,0.0,203.0,4.29,7.589608254018618,4.518773514582863,74.72536034281262,5.092284378652123
12835,5.6615,12.216000000000001,6.554500000000001,12.0,5.25,7.589458043029679,4.518932109665865,74.72047366780929,5.092296665627922
12836,4.541073170731707,12.216000000000001,7.674926829268294,38.0,5.26,7.589220574394305,4.519177961089064,74.71761314948975,5.092309729687622
12837,6.769454545454545,12.216000000000001,5.446545454545456,52.0,5.25,7.589156719741793,4.519250197223466,74.71584358934413,5.092322012774575
12838,6.745276595744681,12.216000000000001,5.47072340425532,86.0,5.26,7.58909099187171,4.519324305269812,74.71672248617493,5.092335072824986
12839,6.132045977011494,12.216000000000001,6.083954022988507,36.0,5.25,7.588977514845631,4.51944616116683,74.71370716510903,5.092347352024922
12840,6.509714285714285,12.216000000000001,5.706285714285716,55.0,5.26,7.588893466622819,4.519538586955564,74.71217194922514,5.092360408067908
12841,10.319238095238095,12.216000000000001,1.896761904761906,18.0,5.25,7.5891060771685765,4.519334352671014,74.70775580127706,5.092372683382651
12842,8.824,12.216000000000001,3.3920000000000012,66.0,5.26,7.589202230242066,4.519246574554322,74.70707778556412,5.092385735420073
12843,5.636698412698412,12.216000000000001,6.579301587301589,60.0,5.25,7.58905021343908,4.519406965010001,74.70593273123637,5.092398006851448
12844,4.511822878228783,12.216000000000001,7.7041771217712185,63.0,5.26,7.588810647278302,4.519654903519675,74.7050214091086,5.092411054885169
12845,3.8160000000000003,12.216000000000001,8.4,21.0,4.89,7.588516951914197,4.519956969929178,74.70084072863148,5.092395298147283
12846,12.216000000000001,12.216000000000001,0.0,319.0,4.21,7.588877151419769,4.519605140165815,74.719856775901,5.092326613217093
12847,4.847578947368421,12.216000000000001,7.36842105263158,6.0,5.08,7.588663787611858,4.5198268724130495,74.71450809464508,5.092325653798256
12848,9.118356902356902,12.224,3.1056430976430978,206.0,4.29,7.588782839142307,4.519716810635886,74.72472565958441,5.092263211144836
12849,4.957935483870967,12.216000000000001,7.258064516129034,35.0,4.89,7.588578103939563,4.519929911624641,74.72163424124514,5.092247470817121
12850,9.857509433962264,12.224,2.3664905660377364,244.0,4.21,7.5887546607312535,4.519762341836641,74.73480662983425,5.092178818768967
12851,10.355534883720932,12.216000000000001,1.8604651162790695,36.0,4.89,7.588969940860649,4.519555424841188,74.73179271708683,5.092163087457204
12852,7.642829268292683,12.216000000000001,4.573170731707318,89.0,4.89,7.588974131269692,4.519559596264736,74.73290282424337,5.092147358593325
12853,7.714196078431373,12.216000000000001,4.501803921568628,29.0,5.25,7.588983873135817,4.519558214930156,74.72934495098802,5.092159639022872
12854,7.3652429378531075,12.216000000000001,4.850757062146894,91.0,5.26,7.588966468162242,4.519583979134529,74.73061065733178,5.092172695449241
12855,9.724,12.216000000000001,2.492000000000001,10.0,5.25,7.589132541087868,4.5194262641392635,74.7255756067206,5.0921849719975105
12856,8.767209876543209,12.216000000000001,3.448790123456792,53.0,5.26,7.589224170343173,4.519342991514181,74.72388582095357,5.092198024422493
12857,9.058105263157895,12.208,3.1498947368421053,14.0,5.08,7.58933840903448,4.519236485972521,74.71916316689999,5.092197075750506
12858,12.216000000000001,12.216000000000001,0.0,118.0,4.29,7.589698208520518,4.518885040565726,74.72252896803795,5.092134691655649
12859,9.17315254237288,12.216000000000001,3.0428474576271203,42.0,5.25,7.589821338717551,4.518770263148701,74.71998444790047,5.09214696734059
12860,5.23151879699248,12.216000000000001,6.984481203007521,40.0,5.26,7.589637970197084,4.518961983150246,74.71728481455564,5.092160018661068
12861,4.78213953488372,12.216000000000001,7.433860465116281,12.0,5.25,7.589419691668449,4.51918861186133,74.71240864562276,5.092172290468045
12862,5.327448275862069,12.216000000000001,6.888551724137932,28.0,5.26,7.58924384066823,4.51937281174567,74.70877711264868,5.092185337790562
12863,8.98870588235294,12.216000000000001,3.2272941176470606,48.0,5.25,7.589352629695102,4.519272370304898,74.70670087064677,5.092197605721393
12864,6.279555555555556,12.216000000000001,5.9364444444444455,74.0,5.26,7.589250818807101,4.519382527481279,74.70664593859308,5.0922106490478045
12865,3.1996097560975607,12.216000000000001,9.01639024390244,4.0,5.25,7.5889096373161395,4.519732053963202,74.70115031866936,5.092222913104306
12866,4.4258348623853205,12.224,7.79816513761468,24.0,5.26,7.588663808857685,4.519986847861053,74.69720991684153,5.092235952436465
12867,7.216,7.216,0.0,19.0,5.08,7.588634848350313,4.519635589946236,74.69288156667703,5.092235001554243
12868,7.282666666666667,12.216000000000001,4.9333333333333345,115.0,4.44,7.5886110727514575,4.519667736790854,74.69601367627632,5.092184318905898
12869,3.9277037037037035,12.216000000000001,8.288296296296298,26.0,5.25,7.5883266199644295,4.51996055952275,74.69222999223,5.092196581196581
12870,6.551731092436974,12.216000000000001,5.664268907563027,104.0,5.26,7.588246082669151,4.520049465462308,74.69450703131069,5.09220961852226
12871,12.216000000000001,12.216000000000001,0.0,26.0,5.08,7.588605603638491,4.519698311836962,74.69072405220633,5.092208669981355
12872,2.216,12.216000000000001,10.0,1.0,4.47,7.588188249051087,4.520124032468373,74.68499961159014,5.092160335586111
12873,6.390666666666666,12.216000000000001,5.825333333333335,11.0,5.25,7.588095230441302,4.520225415822487,74.68005281963647,5.092172595929782
12874,4.7630625,12.216000000000001,7.452937500000001,66.0,5.26,7.5878758104234025,4.520453199285336,74.6793786407767,5.092185631067961
12875,3.133090909090909,12.216000000000001,9.082909090909093,2.0,5.25,7.5875298345845295,4.520807537270084,74.67373407890649,5.092197887542715
12876,2.6717611940298505,12.216000000000001,9.544238805970151,5.0,5.26,7.5871480866121335,4.521197646089584,74.66832336724393,5.092210918692242
12877,12.224,12.224,0.0,80.0,5.25,7.587508146552604,4.52084656691222,74.668737381581,5.09222317129989
12878,6.5644255319148925,12.216000000000001,5.6515744680851085,103.0,5.26,7.587428708505035,4.520934363162021,74.67093718456402,5.092236198462614
12879,6.985904761904761,12.216000000000001,5.23009523809524,11.0,5.25,7.587382006335268,4.520989422236161,74.66599378881988,5.09224844720497
12880,5.789217391304348,12.216000000000001,6.426782608695653,41.0,5.26,7.5872424081196765,4.5211373760585705,74.66338017234686,5.092261470382734
12881,3.652571428571428,12.216000000000001,8.563428571428574,5.0,5.25,7.586936968670869,4.521451169816944,74.65797236453967,5.092273715261605
12882,7.595900826446281,12.216000000000001,4.6200991735537205,66.0,5.26,7.586937664460496,4.521458827039931,74.65730031824886,5.09228673445626
12883,4.288516129032258,12.216000000000001,7.927483870967743,66.0,5.25,7.586681655337908,4.521723187878485,74.65662837628066,5.092298975473455
12884,4.756751091703057,12.216000000000001,7.459248908296944,59.0,5.26,7.58646202549207,4.521951168143942,74.65541327124564,5.092311990686845
12885,10.557333333333334,12.216000000000001,1.658666666666667,21.0,5.25,7.5866925758030925,4.521728966956492,74.65124941797299,5.0923242278441725
12886,7.409185185185185,12.216000000000001,4.806814814814816,70.0,5.26,7.586678801659334,4.521751088928081,74.65088849227904,5.092337239078141
12887,9.724,12.216000000000001,2.492000000000001,19.0,5.25,7.586844639741142,4.5215935973786605,74.6465704531347,5.092349472377405
12888,3.7624615384615385,12.216000000000001,8.453538461538463,31.0,5.26,7.586547922920497,4.521898659436552,74.64318411048181,5.092362479633795
12889,4.141925925925926,12.208,8.066074074074074,26.0,4.89,7.58628069080281,4.522173614860496,74.63941039565555,5.092346780449961
12890,12.216000000000001,12.216000000000001,0.0,609.0,4.21,7.586639834337772,4.521822814021549,74.68086261732992,5.0922783337212
12891,12.224,12.224,0.0,51.0,5.25,7.5869995426968835,4.52147206760408,74.6790257524046,5.092290567793981
12892,6.913655172413792,12.216000000000001,5.302344827586209,68.0,5.26,7.5869473171194155,4.521532633241246,74.67850771736602,5.092303575583649
12893,2.3852903225806448,12.216000000000001,9.830709677419357,24.0,5.25,7.586543900259285,4.521944388867442,74.6745773227858,5.092315805801147
12894,3.3924782608695647,12.216000000000001,8.823521739130436,45.0,5.26,7.586218652826994,4.522277973772464,74.67227607599845,5.092328809616131
12895,6.666549450549451,12.208,5.541450549450549,82.0,4.89,7.586147338527809,4.522357003903953,74.67284429280397,5.092313120347395
12896,2.3271111111111114,12.224,9.896888888888888,3.0,4.21,7.585739566470166,4.522773731195958,74.66728696596108,5.092244708071644
