sales_item,mapped_items,GramsPerServing,Calories,Protein,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Vitamin D (D2 + D3),Calcium,Iron,Potassium,Vitamin A,Vitamin C,method,n_candidates,sales_volume
MEATBALL SUB ELEM,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",328.95925354166667,520.0,19.0,68.0,6.0,31.0,24.0,18.0,5.0,1.0,61.0,1759.0,7.0,174.0,3.0,421.0,1961.0,2.0,median_over_topK,5,61225
PASTA W/ MEATBALLS ELEMENTARY,"Penne Pasta with Marinara and Beef Meatballs, Penne Pasta with Marinara and Beef Meatballs, Penne Pasta with Marinara and Beef Meatballs",754.5698681250001,492.0,28.0,54.0,7.0,10.0,1.0,19.0,8.0,1.0,63.0,668.0,,313.0,4.0,559.0,,,median_over_topK,5,60916
ASIAN VEGGIE SUB-ES,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",347.05925354166664,539.0,19.0,84.0,8.0,32.0,24.0,16.0,2.0,0.0,13.0,1757.0,7.0,191.0,4.0,951.0,1961.0,2.0,median_over_topK,5,59322
CHICKEN TIKKA MASALA W/ RICE,"Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala",123.320325,101.0,18.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,449.0,,0.0,0.0,202.0,,,median_over_topK,5,57536
FRUIT SNACKS,"Fruit Snacks, Welch's Mixed, Fruit Snacks, Welch's Mixed, Fruit Snacks, Welch's Mixed",42.524249999999995,,,,,,,,,,,,,,,,,,median_over_topK,5,55112
GRILLED CHEESE SANDWICH ELEMENTARY,"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Grilled Cheese Sandwich",118.0,300.0,18.0,38.0,4.0,6.0,0.0,11.0,5.0,0.0,30.0,1160.0,1.0,380.0,2.0,300.0,0.0,0.0,median_over_topK,5,53815
CHICKENLESS BITES W/ ORANGE SAUCE W/RICE,Orange Chickenless Bites + Cooked  Brown Rice,337.8828333333334,447.0,18.0,78.0,4.0,13.0,10.0,10.0,1.0,0.0,0.0,436.0,0.0,45.0,3.0,670.0,0.0,0.0,composite_sum,2,52841
CHEESE QUESADILLA ELEMENTARY,"Cheese Quesadilla, Cheese Quesadilla, Cheese Quesadilla",118.415528125,351.0,19.0,31.0,3.0,3.0,1.0,17.0,8.0,0.0,35.0,603.0,,331.0,2.0,115.0,,,median_over_topK,5,52355
ALC BREAKFAST ENTREE,"Black Beans - salad bar entree, Chickpeas - salad bar entree, Chickpeas - salad bar entree",130.0,80.0,4.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,148.0,,,median_over_topK,5,45525
ALC VEGETABLE/FRUIT,"Fruit Snacks, Welch's Mixed, Manager's Vegetable Choice, Manager's Vegetable Choice",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,43693
STRAWBERRY PARFAIT,"Strawberry Parfait, Strawberry Parfait Power Pack, Strawberry Parfait",211.260155,206.0,5.0,43.0,3.0,23.0,15.0,2.0,0.0,0.0,3.0,53.0,3.0,296.0,1.0,323.0,,31.0,median_over_topK,5,41992
CHICKENLESS BITE W/ MAPLEL WAFFLE SECONDARY,"Maple Belgian Waffle, Waffle (Grain), Belgian, Buttery Maple, Bulk, Chickenless Bites",44.5,85.0,6.0,9.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,165.0,0.0,20.0,1.0,265.0,0.0,0.0,median_over_topK,5,41683
ORANGE CHICKEN SECONDARY,"Orange Chicken, Orange Chicken, Orange Chicken",128.13974,231.0,18.0,27.0,1.0,11.0,10.0,6.0,1.0,0.0,45.0,634.0,0.0,13.0,2.0,259.0,0.0,0.0,median_over_topK,5,36447
BEAN & CHEESE PUPUSA-ES,Black Bean and Corn Salad + Bean and Cheese Pupusa,262.15792,390.0,18.0,55.0,8.0,2.0,0.0,11.0,3.0,0.0,15.0,550.0,0.0,274.0,2.0,419.0,0.0,0.0,composite_sum,2,36158
ASIAN BEEF MEATBALL SUB-ES,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",328.95925354166667,520.0,19.0,68.0,6.0,31.0,24.0,18.0,5.0,1.0,61.0,1759.0,7.0,174.0,3.0,421.0,1961.0,2.0,median_over_topK,5,36083
NACHOS W/ TURKEY BARBACOA & CHEESE SAUCE ES,Nachos with Turkey Barbacoa and Cheese Sauce + Nachos with Turkey Barbacoa and Cheese Sauce,333.9572025,870.0,38.0,88.0,4.0,8.0,0.0,40.0,12.0,0.0,78.0,1710.0,0.0,372.0,2.0,930.0,0.0,0.0,composite_sum,2,35887
MANDARIN PARFAIT,"Mandarin Orange Parfait, Mandarin Orange Parfait, Mandarin Orange Parfait",334.01348999999993,250.0,7.0,55.0,3.0,36.0,15.0,2.0,0.0,0.0,3.0,63.0,3.0,308.0,1.0,478.0,1696.0,68.0,median_over_topK,5,33453
PASTA W/MEATBALLS SECODNARY,Pasta with Meat Sauce + Beef Meatballs,761.09023,342.0,19.0,43.0,5.0,3.0,0.0,11.0,4.0,1.0,48.0,354.0,0.0,48.0,3.0,190.0,0.0,0.0,composite_sum,2,32349
SIMPLY CHEX,"Cinnamon Chex Cereal, Cinnamon Chex Cereal, Blueberry Chex Cereal",56.0,230.0,3.0,46.0,3.0,12.0,12.0,5.0,1.0,0.0,0.0,320.0,2.0,100.0,14.0,0.0,500.0,6.0,median_over_topK,3,28761
NACHOS W/CHEESE-SECON DARY,Cheesy Fiesta Nachos + Egg and American Cheese on English Muffin,320.81938225,630.0,27.0,70.0,5.0,7.0,0.0,26.0,7.0,0.0,14.0,1279.0,1.0,389.0,3.0,667.0,39.0,3.0,composite_sum,2,28275
ALFREDO LASAGNA-ES,"Alfredo & Basil Lasagna, Alfredo & Basil Lasagna, Alfredo & Basil Lasagna",199.5074140070922,397.0,26.0,34.0,2.0,9.0,,16.0,9.0,0.0,49.0,719.0,,635.0,1.0,263.0,404.0,6.0,median_over_topK,5,25550
FISH TACOS ON TORTILLA-ES,"Fish Tacos, Turkey Barbacoa Tacos on Flour Tortillas, Fish Tacos",162.0582,390.0,18.0,43.0,5.0,2.0,2.0,16.0,4.0,0.0,45.0,480.0,1.0,48.0,3.0,504.0,,,median_over_topK,5,25088
TURKEY & CHEESE ON BISCUIT,Turkey Pepperoni Pizza + Egg and American Cheese on Biscuit,270.122235,629.0,34.0,61.0,5.0,10.0,2.0,28.0,13.0,0.0,44.0,1040.0,1.0,668.0,5.0,466.0,500.0,9.0,composite_sum,2,25083
NACHOS W/TACO MEAT&CHEESE-SEC ONDARY,"Cheesy Fiesta Nachos + Beef, Taco Meat, Pre-Cooked + Egg and American Cheese on English Muffin",410.68729725,743.0,40.0,75.0,7.0,9.0,0.0,31.0,9.0,0.0,48.0,1575.0,1.0,435.0,5.0,1489.0,39.0,3.0,composite_sum,3,24871
CHICKEN DUMPLING SECONDARY,"Spicy Chicken Wrap, Chicken, Bites, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,50.0,389.0,0.0,13.0,2.0,258.0,50.5,0.0,median_over_topK,5,22608
SANDWICH (SEC),"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Chicken Philly Sandwich",159.0582,350.0,20.0,38.0,5.0,6.0,3.0,11.0,5.0,0.0,45.0,969.0,7.0,371.0,2.0,332.0,0.0,0.0,median_over_topK,5,22546
SALAD BAR ELEMENTARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",130.0,80.0,4.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,148.0,,,median_over_topK,5,22506
ORANGE CHICKENLESS BITE SECONDARY,"Orange Chickenless Bites, Orange Chickenless Bites, Orange Chickenless Bites",117.3495,220.0,13.0,30.0,3.0,13.0,10.0,8.0,1.0,0.0,0.0,430.0,0.0,40.0,2.0,530.0,0.0,0.0,median_over_topK,5,22425
YOGURT POWER PACK SECONDARY,"Peach Yogurt Power Pack, Peach Yogurt Power Pack, Peach Yogurt Power Pack",203.398,320.0,14.0,51.0,3.0,16.0,10.0,7.0,4.0,0.0,25.0,395.0,4.0,500.0,2.0,295.0,,,median_over_topK,5,21252
CHICKEN & CHEESE QUESADILLA SECONDARY,Chicken Tenders + Cheese Quesadilla,250.24070312499998,577.0,36.0,49.0,7.0,3.0,1.0,27.0,9.0,0.0,95.0,992.0,0.0,341.0,3.0,115.0,55.0,0.0,composite_sum,2,20833
BBQ CHICKEN SANDWICH ELEMENTARY,"BBQ Chicken Sandwich, BBQ Chicken Sandwich, BBQ Chicken Sandwich",151.3689,331.0,29.0,36.0,4.0,11.0,10.0,2.0,,,71.0,375.0,7.0,122.0,2.0,433.0,,,median_over_topK,5,19283
TRIPLE BERRY PARFAIT,"Triple Berry Parfait Power Pack, Triple Berry Parfait Power Pack, Parfait, Triple Berry",218.064035,216.0,6.0,46.0,4.0,26.0,15.0,2.0,0.0,0.0,3.0,53.0,3.0,296.0,1.0,303.0,,13.0,median_over_topK,5,18500
FIELD TRIP LUNCH ELEMENTARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,0.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,0.0,13.0,median_over_topK,5,17972
BISCUIT & JELLY,"Turkey Sausage Breakfast Biscuit + Peanut Butter and Jelly Sandwich, IW",184.68149499999998,597.0,21.0,60.0,6.0,17.0,14.0,33.0,10.0,0.0,37.0,768.0,0.0,146.0,3.0,360.0,7.0,0.0,composite_sum,2,17454
TURKEY BARBACOA AREPAS W/ CHEESE ES,"Nachos with Turkey Barbacoa and Cheese Sauce, Nachos with Turkey Barbacoa and Cheese Sauce, Quesadilla, Turkey Barbacoa and Cheese",166.97860125,435.0,19.0,44.0,2.0,4.0,0.0,20.0,6.0,0.0,39.0,855.0,,186.0,1.0,465.0,,,median_over_topK,5,16774
STRING CHEESE,"String Cheese, String Cheese, String Cheese",28.0,80.0,6.0,2.0,0.0,1.0,0.0,6.0,4.0,0.0,20.0,200.0,,198.0,0.0,55.0,,,median_over_topK,5,16609
SALAD BAR SECONDARY,"Chickpeas - salad bar entree, Black Beans - salad bar entree, Black Beans - salad bar entree",130.0,80.0,4.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,148.0,,,median_over_topK,5,16411
CHEESE QUESADILLA SECONDARY,"Cheese Quesadilla, Cheese Quesadilla, Cheese Quesadilla",118.415528125,351.0,19.0,31.0,3.0,3.0,1.0,17.0,8.0,0.0,35.0,603.0,,331.0,2.0,115.0,,,median_over_topK,5,15777
FISH W/ ROLL-SECONDARY,"Whole Wheat Dinner Roll, Sub Roll, Sub Roll",57.0,140.0,6.0,27.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,220.0,7.0,110.0,1.0,130.0,0.0,0.0,median_over_topK,5,14577
MINI CHEESE CALZONE SECONDARY,"Calzone, Cheese, Calzone, Cheese, Calzone, Cheese",142.0,300.0,18.0,30.0,3.0,4.0,2.0,12.0,6.0,0.0,30.0,490.0,0.0,350.0,2.0,147.0,,,median_over_topK,5,14483
CHICKEN TENDER ON BISCUIT,"Egg and American Cheese on Biscuit, Egg and American Cheese on Biscuit, Egg and American Cheese on Biscuit",120.436875,306.0,11.0,31.0,2.0,4.0,2.0,15.0,7.0,0.0,9.0,611.0,1.0,218.0,2.0,447.0,18.0,,median_over_topK,5,14187
CHICKEN ON BUN SECONDARY,"Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun, Spicy Breaded Chicken Patty on Bun",171.0,365.0,22.0,44.0,5.0,3.0,3.0,11.0,1.0,0.0,40.0,615.0,7.0,110.0,3.0,130.0,10.0,0.0,median_over_topK,5,14173
HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,Hot Turkey & Cheese + Grilled Cheese Sandwich,247.5,570.0,40.0,72.0,8.0,10.0,0.0,19.0,8.0,0.0,60.0,2120.0,2.0,600.0,4.0,615.0,0.0,0.0,composite_sum,2,13782
GRILLED CHEESE SANDWICH SECONDARY,"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Grilled Cheese Sandwich",118.0,300.0,18.0,38.0,4.0,6.0,0.0,11.0,5.0,0.0,30.0,1160.0,1.0,380.0,2.0,300.0,0.0,0.0,median_over_topK,5,13442
VEGGIE DUMPLINGS SECONDARY,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",347.05925354166664,539.0,19.0,84.0,8.0,32.0,24.0,16.0,2.0,0.0,13.0,1757.0,7.0,191.0,4.0,951.0,1961.0,2.0,median_over_topK,5,12532
TURKEY BARBACOA QUESADILLA SECONDARY,"Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese",164.7669375,402.0,26.0,32.0,3.0,3.0,1.0,19.0,8.0,0.0,63.0,868.0,,331.0,3.0,122.0,,,median_over_topK,5,12498
BEAN & CHEESE PUPUSA SECONDARY,Black Bean and Corn Salad + Bean and Cheese Pupusa,262.15792,390.0,18.0,55.0,8.0,2.0,0.0,11.0,3.0,0.0,15.0,550.0,0.0,274.0,2.0,419.0,0.0,0.0,composite_sum,2,12395
ALFREDO LASAGNA-SECONDA RY,"Alfredo & Basil Lasagna, Alfredo & Basil Lasagna, Alfredo & Basil Lasagna",199.5074140070922,397.0,26.0,34.0,2.0,9.0,,16.0,9.0,0.0,49.0,719.0,,635.0,1.0,263.0,404.0,6.0,median_over_topK,5,12333
VEGAN BURGER SECONDARY,"BBQ Vegan Burger, Vegan Burger, Vegan Burger",120.786375,270.0,20.0,35.0,10.0,4.0,3.0,7.0,0.0,0.0,0.0,668.0,7.0,180.0,3.0,598.0,,,median_over_topK,5,11092
ASIAN BEEF MEATBALL SUB-SECONDARY,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",328.95925354166667,520.0,19.0,68.0,6.0,31.0,24.0,18.0,5.0,1.0,61.0,1759.0,7.0,174.0,3.0,421.0,1961.0,2.0,median_over_topK,5,10994
NACHOS W/TURKEY BARBACOA&CHEES E SECONDARY,Cheesy Fiesta Nachos + Turkey Barbacoa Arepa + Cheesy Fiesta Nachos,645.3902969999999,1110.0,53.0,121.0,11.0,10.0,0.0,45.0,13.0,0.0,88.0,2325.0,0.0,402.0,5.0,998.0,78.0,6.0,composite_sum,3,10770
CHANA MASALA W/ RICE,"Chana Masala, Chana Masala, Chana Masala",132.83174897655368,80.0,4.0,14.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,148.0,,,median_over_topK,5,10341
CHICKEN PHILLY SUB-ES,"Chicken Tenders Sub, Chicken Tenders Sub, Chicken Tenders Sub",189.0,366.0,23.0,45.0,8.0,3.0,3.0,12.0,1.0,0.0,60.0,609.0,7.0,120.0,2.0,130.0,55.0,,median_over_topK,5,10274
FISH FILLET SANDWISH-SECON DARY,"Fish Tacos, Fish Tacos, Fish Tacos",162.0582,390.0,18.0,43.0,5.0,2.0,2.0,16.0,4.0,0.0,45.0,480.0,1.0,48.0,3.0,504.0,0.0,,median_over_topK,5,10117
$0.50 Juice,"Apple Juice, Orange Tangerine Juice, Apple Juice",119.918385,60.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,130.0,0.0,0.0,median_over_topK,5,10113
ALC $1 YOGURT OZ,"Assorted  4 oz Yogurt, Assorted  4 oz Yogurt, Assorted  4 oz Yogurt",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,9908
VEGAN BURGER ELEMENTARY,"BBQ Vegan Burger, Vegan Burger, Vegan Burger",120.786375,270.0,20.0,35.0,10.0,4.0,3.0,7.0,0.0,0.0,0.0,668.0,7.0,180.0,3.0,598.0,,,median_over_topK,5,9671
MEATBALL SUB SECONDARY,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",328.95925354166667,520.0,19.0,68.0,6.0,31.0,24.0,18.0,5.0,1.0,61.0,1759.0,7.0,174.0,3.0,421.0,1961.0,2.0,median_over_topK,5,9471
CHICKEN TIKKA MASALA SECONDARY,"Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala",123.320325,101.0,18.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,449.0,,0.0,0.0,202.0,,,median_over_topK,5,9160
BBQ CHICKEN SANDWICH SECONDARY,"BBQ Chicken Sandwich, BBQ Chicken Sandwich, BBQ Chicken Sandwich",151.3689,331.0,29.0,36.0,4.0,11.0,10.0,2.0,,,71.0,375.0,7.0,122.0,2.0,433.0,,,median_over_topK,5,8579
TACO BEEF AREPAS-ES,"Arepa w/Taco Beef, Taco Beef, Arepa w/Taco Beef",253.44453,253.0,16.0,35.0,6.0,4.0,0.0,6.0,2.0,0.0,34.0,510.0,0.0,73.0,3.0,1021.0,1914.0,10.0,median_over_topK,5,7651
