date,school_name,time_of_day,time_slot_id
03/03/2025,HERNDON_MIDDLE,lunch,159
03/03/2025,HOLLIN_MEADOWS_ELEMENTARY,breakfast,160
03/03/2025,HOLLIN_MEADOWS_ELEMENTARY,lunch,161
03/03/2025,HOLMES_MIDDLE,breakfast,162
03/03/2025,HOLMES_MIDDLE,lunch,163
03/03/2025,HUGHES_MIDDLE,breakfast,164
03/03/2025,HUGHES_MIDDLE,lunch,165
03/03/2025,HUNTERS_WOODS_ELEMENTARY,breakfast,166
03/03/2025,HUNTERS_WOODS_ELEMENTARY,lunch,167
03/03/2025,HUNT_VALLEY_ELEMENTARY,breakfast,168
03/03/2025,HUNT_VALLEY_ELEMENTARY,lunch,169
03/03/2025,HUTCHISON_ELEMENTARY,breakfast,170
03/03/2025,HUTCHISON_ELEMENTARY,lunch,171
03/03/2025,HYBLA_VALLEY_ELEMENTARY,breakfast,172
03/03/2025,HYBLA_VALLEY_ELEMENTARY,lunch,173
03/03/2025,IRVING_MIDDLE,breakfast,174
03/03/2025,IRVING_MIDDLE,lunch,175
03/03/2025,ISLAND_CREEK_ELEMENTARY,breakfast,176
03/03/2025,ISLAND_CREEK_ELEMENTARY,lunch,177
03/03/2025,JEFFERSON_HIGH,breakfast,178
03/03/2025,JEFFERSON_HIGH,lunch,179
03/03/2025,JOHNSON_MIDDLE,breakfast,180
03/03/2025,JOHNSON_MIDDLE,lunch,181
03/03/2025,JUSTICE_HIGH,breakfast,182
03/03/2025,JUSTICE_HIGH,lunch,183
03/03/2025,KEENE_MILL_ELEMENTARY,breakfast,184
03/03/2025,KEENE_MILL_ELEMENTARY,lunch,185
03/03/2025,KENT_GARDENS_ELEMENTARY,breakfast,186
03/03/2025,KENT_GARDENS_ELEMENTARY,lunch,187
03/03/2025,KEY_MIDDLE,breakfast,188
03/03/2025,KEY_MIDDLE,lunch,189
03/03/2025,KILMER_MIDDLE,breakfast,190
03/03/2025,KILMER_MIDDLE,lunch,191
03/03/2025,KINGS_GLEN_ELEMENTARY,breakfast,192
03/03/2025,KINGS_GLEN_ELEMENTARY,lunch,193
03/03/2025,KINGS_PARK_ELEMENTARY,breakfast,194
03/03/2025,KINGS_PARK_ELEMENTARY,lunch,195
03/03/2025,LAKE_ANNE_ELEMENTARY,breakfast,196
03/03/2025,LAKE_ANNE_ELEMENTARY,lunch,197
03/03/2025,LAKE_BRADDOCK_SECONDARY,breakfast,198
03/03/2025,LAKE_BRADDOCK_SECONDARY,lunch,199
03/03/2025,LANE_ELEMENTARY,breakfast,200
03/03/2025,LANE_ELEMENTARY,lunch,201
03/03/2025,LANGLEY_HIGH,breakfast,202
03/03/2025,LANGLEY_HIGH,lunch,203
03/03/2025,LAUREL_HILL_ELEMENTARY,breakfast,204
03/03/2025,LAUREL_HILL_ELEMENTARY,lunch,205
03/03/2025,LAUREL_RIDGE_ELEMENTARY,breakfast,206
03/03/2025,LAUREL_RIDGE_ELEMENTARY,lunch,207
03/03/2025,LEES_CORNER_ELEMENTARY,breakfast,208
03/03/2025,LEES_CORNER_ELEMENTARY,lunch,209
03/03/2025,LEMON_ROAD_ELEMENTARY,breakfast,210
03/03/2025,LEMON_ROAD_ELEMENTARY,lunch,211
03/03/2025,LEWIS_HIGH,breakfast,212
03/03/2025,LEWIS_HIGH,lunch,213
03/03/2025,LIBERTY_MIDDLE,breakfast,214
03/03/2025,LIBERTY_MIDDLE,lunch,215
03/03/2025,LITTLE_RUN_ELEMENTARY,breakfast,216
03/03/2025,LITTLE_RUN_ELEMENTARY,lunch,217
03/03/2025,LONDON_TOWNE_ELEMENTARY,breakfast,218
03/03/2025,LONDON_TOWNE_ELEMENTARY,lunch,219
03/03/2025,LONGFELLOW_MIDDLE,breakfast,220
03/03/2025,LONGFELLOW_MIDDLE,lunch,221
03/03/2025,LORTON_STATION_ELEMENTARY,breakfast,222
03/03/2025,LORTON_STATION_ELEMENTARY,lunch,223
03/03/2025,LOUISE_ARCHER_ELEMENTARY,breakfast,224
03/03/2025,LOUISE_ARCHER_ELEMENTARY,lunch,225
03/03/2025,LUTHER_JACKSON_MIDDLE,breakfast,226
03/03/2025,LUTHER_JACKSON_MIDDLE,lunch,227
03/03/2025,LYNBROOK_ELEMENTARY,breakfast,228
03/03/2025,LYNBROOK_ELEMENTARY,lunch,229
03/03/2025,MADISON_HIGH,breakfast,230
03/03/2025,MADISON_HIGH,lunch,231
03/03/2025,MANTUA_ELEMENTARY,breakfast,232
03/03/2025,MANTUA_ELEMENTARY,lunch,233
03/03/2025,MARSHALL_HIGH,breakfast,234
03/03/2025,MARSHALL_HIGH,lunch,235
03/03/2025,MARSHALL_ROAD_ELEMENTARY,breakfast,236
03/03/2025,MARSHALL_ROAD_ELEMENTARY,lunch,237
03/03/2025,MASON_CREST_ELEMENTARY,breakfast,238
03/03/2025,MASON_CREST_ELEMENTARY,lunch,239
03/03/2025,MCLEAN_HIGH,breakfast,240
03/03/2025,MCLEAN_HIGH,lunch,241
03/03/2025,MCNAIR_ELEMENTARY,breakfast,242
03/03/2025,MCNAIR_ELEMENTARY,lunch,243
03/03/2025,MCNAIR_UPPER_ELEMENTARY,breakfast,244
