RecipeID,RecipeName,ServingSize,GramsPerServing,Calories,Protein,Total Fat,Saturated Fat,Trans Fat,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Sodium,Cholesterol,sales_item,match_score,needs_review
10095,"Dough, Cookie, Double Chocolate, WG",1/2 Cookie,18.4,69.0,1.0,2.0,1.0,0.0,12.0,1.0,6.0,5.0,50.0,6.0,COOKIE,6.0,False
10102,"Dough, Cookie, Ginger Twinkle",1/2 Cookie,18.4,69.0,1.0,2.0,1.0,0.0,12.0,1.0,6.0,5.0,61.0,7.0,COOKIE,6.0,False
30042,Original Flavored Dried Cranberries,Package,32.9,110.0,0.0,0.0,0.0,0.0,27.0,2.0,24.0,21.0,0.0,0.0,COOKIE,0.0,False
30043,Raspberry Lemonade Flavored Dried Cranberries,Each,32.9,110.0,0.0,0.0,0.0,0.0,27.0,,24.0,,0.0,0.0,COOKIE,0.0,False
10036,Vanilla Sugar Cookie,1/2 Cookie,18.4,70.0,1.0,2.0,1.0,0.0,12.0,1.0,6.0,6.0,47.0,7.0,COOKIE,6.0,False
30045,Watermelon Flavored Dried Cranberries,Each,32.9,110.0,0.0,0.0,0.0,0.0,27.0,2.0,24.0,,0.0,0.0,COOKIE,0.0,False
60068,Biscuit,Biscuit,71.0,210.0,5.0,9.0,5.0,0.0,28.0,2.0,3.0,2.0,290.0,0.0,EGG & CHEESE ON BISCUIT,6.0,False
60107,Cheese and Cracker Power Pack,Power Pack,105.6,360.0,13.0,16.0,6.0,0.0,43.0,,11.0,7.0,1160.0,30.0,EGG & CHEESE ON BISCUIT,10.0,False
60197,Egg & Cheese Breakfast Quesadilla,Quesadilla,126.8,322.0,14.0,15.0,7.0,0.0,32.0,4.0,2.0,2.0,464.0,21.0,EGG & CHEESE ON BISCUIT,14.0,False
60179,Egg and American Cheese on Bagel,Sandwich,106.1,226.0,10.0,7.0,2.0,0.0,28.0,3.0,3.0,2.0,521.0,9.0,EGG & CHEESE ON BISCUIT,18.0,False
60182,Egg and American Cheese on Bagel,Sandwich,120.1,261.0,12.0,9.0,4.0,0.0,30.0,3.0,4.0,2.0,731.0,16.0,EGG & CHEESE ON BISCUIT,18.0,False
60125,Egg and American Cheese on Biscuit,Sandwich,120.4,306.0,11.0,15.0,7.0,0.0,31.0,2.0,4.0,2.0,611.0,9.0,EGG & CHEESE ON BISCUIT,22.0,False
60004,Egg and American Cheese on English Muffin,Sandwich,111.8,216.0,12.0,8.0,2.0,0.0,24.0,1.0,2.0,,591.0,9.0,EGG & CHEESE ON BISCUIT,18.0,False
60165,Egg and Cheese Bagel,Sandwich,106.1,226.0,10.0,7.0,2.0,0.0,28.0,3.0,3.0,2.0,521.0,9.0,EGG & CHEESE ON BISCUIT,14.0,False
60185,Egg and Cheese Burrito - For Lunch,Sandwich,125.8,322.0,15.0,15.0,5.0,0.0,31.0,3.0,2.0,,534.0,21.0,EGG & CHEESE ON BISCUIT,14.0,False
